,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,2,15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0
4,5,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0
5,6,15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1
11,12,15737173,Andrews,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0
14,15,15600882,Scott,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0
17,18,15788218,Henderson,549,Spain,Female,24,9,0.0,2,1,1,14406.41,0
18,19,15661507,Muldrow,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0
21,22,15597945,Dellucci,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0
22,23,15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1
30,31,15589475,Azikiwe,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1
33,34,15659428,Maggard,520,Spain,Female,42,6,0.0,2,1,1,34410.55,0
34,35,15732963,Clements,722,Spain,Female,29,9,0.0,2,1,1,142033.07,0
36,37,15788448,Watson,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0
37,38,15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0
40,41,15619360,Hsiao,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0
44,45,15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0
58,59,15623944,T'ien,511,Spain,Female,66,4,0.0,1,1,0,1643.11,1
62,63,15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0
63,64,15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0
72,73,15812518,Palermo,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0
78,79,15575185,Bushell,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0
85,86,15805254,Ndukaku,652,Spain,Female,75,10,0.0,2,1,1,114675.75,0
86,87,15762418,Gant,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1
90,91,15757535,Heap,647,Spain,Female,44,5,0.0,3,1,1,174205.22,1
94,95,15676966,Capon,730,Spain,Male,42,4,0.0,2,0,1,85982.47,0
95,96,15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0
96,97,15738721,Graham,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0
98,99,15604348,Allard,710,Spain,Male,22,8,0.0,2,0,0,99645.04,0
103,104,15776605,Bradley,528,Spain,Male,36,7,0.0,2,1,0,60536.56,0
104,105,15804919,Dunbabin,670,Spain,Female,65,1,0.0,1,1,1,177655.68,1
105,106,15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1
108,109,15602312,Walkom,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0
113,114,15591100,Chiemela,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0
121,122,15580203,Kennedy,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0
